UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,time_index,rolling_avg_temp,rolling_avg_rot_speed,rolling_avg_torque,ema_temp,ema_rot_speed,ema_torque,lag_temp,lag_rot_speed,lag_torque,temp_torque_interaction,cumsum_temp,cumsum_rot_speed,cumsum_torque,roc_temp,roc_rot_speed,roc_torque,temp_outlier,temp_squared,rot_speed_squared,torque_squared,binned_temp,binned_rot_speed,binned_torque,failure_rate,time_since_last_failure,Type_L,Type_M
1,M14860,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,0,,,,298.1,1551.0,42.8,,,,12758.68,298.1,1551,42.8,,,,False,88863.61000000002,2405601,1831.8399999999997,0,2,2,,0.0,False,True
2,L47181,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,1,,,,298.1333333333334,1503.3333333333335,43.96666666666667,298.1,1551.0,42.8,13806.659999999998,596.3,2959,89.1,0.00033545790003342013,-0.09219858156028371,0.08177570093457942,False,88923.23999999999,1982464,2143.6899999999996,0,0,2,,0.0,True,False
3,L47182,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,2,,,,298.12222222222226,1501.5555555555557,45.777777777777786,298.2,1408.0,46.3,14726.140000000001,894.4,4457,138.5,-0.00033534540576785066,0.06392045454545459,0.06695464362850978,False,88863.61000000002,2244004,2440.3599999999997,0,1,3,,0.0,True,False
4,L47183,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,3,,,,298.1481481481482,1478.703703703704,43.68518518518519,298.1,1498.0,49.4,11778.9,1192.6,5890,178.0,0.00033545790003342013,-0.0433911882510013,-0.2004048582995951,False,88923.23999999999,2053489,1560.25,0,1,1,,0.0,True,False
5,L47184,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,4,298.15999999999997,1459.6,43.6,298.1654320987655,1455.135802469136,42.4567901234568,298.2,1433.0,39.5,11928.0,1490.8,7298,218.0,0.0,-0.017445917655268706,0.012658227848101333,False,88923.23999999999,1982464,1600.0,0,0,1,,0.0,True,False
6,M14865,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,5,298.15999999999997,1434.4,43.419999999999995,298.14362139917705,1445.090534979424,42.27119341563787,298.2,1408.0,40.0,12490.390000000001,1788.9,8723,259.9,-0.00033534540576785066,0.012073863636363535,0.047499999999999876,False,88863.61000000002,2030625,1755.61,0,1,2,,0.0,False,True
7,L47186,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,6,298.14,1464.4,42.64,298.12908093278475,1482.7270233196161,42.31412894375858,298.1,1425.0,41.9,12639.44,2087.0,10281,302.29999999999995,0.0,0.09333333333333327,0.01193317422434359,False,88863.61000000002,2427364,1797.76,0,2,2,,0.0,True,False
8,L47187,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,7,298.14,1470.2,40.8,298.11938728852317,1497.4846822130776,41.60941929583906,298.1,1558.0,42.4,11983.620000000003,2385.1,11808,342.49999999999994,0.0,-0.019897304236200286,-0.05188679245283012,False,88863.61000000002,2331729,1616.0400000000002,0,2,2,,0.0,True,False
9,M14868,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,8,298.15999999999997,1517.0,38.62,298.1795915256821,1553.9897881420518,37.27294619722604,298.1,1527.0,40.2,8531.380000000001,2683.4,13475,371.09999999999997,0.0006709158000670623,0.09168303863785199,-0.2885572139303483,False,88982.89000000001,2778889,817.96,0,3,0,,0.0,False,True
10,M14869,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,9,298.22,1583.6,36.22,298.28639435045477,1616.3265254280345,34.18196413148403,298.3,1667.0,28.6,8358.0,2981.9,15216,399.09999999999997,0.000670465973851897,0.04439112177564497,-0.020979020979021046,False,89102.25,3031081,784.0,1,3,0,,0.0,False,True
11,H29424,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10,298.28000000000003,1655.0,32.62,298.3242629003032,1671.5510169520232,30.75464275432269,298.5,1741.0,28.0,7131.759999999999,3280.3,16998,422.99999999999994,-0.0003350083752095001,0.023549684089603673,-0.14642857142857146,False,89042.55999999998,3175524,571.2099999999999,1,3,0,0.0,0.0,False,False
